"STATION","NAME","DATE","TMAX"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-01-01","91"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-01-02","93"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-01-03","85"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-01-04","77"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-01-05","92"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-01-06","86"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-01-07","84"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-01-08","87"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-01-09","78"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-01-10","77"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-01-11","78"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-01-12","85"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-01-13","87"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-01-14","82"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-01-15","80"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-01-16","82"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-01-17","90"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-01-18","89"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-01-19","91"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-01-20","85"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-01-21","85"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-01-22","93"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-01-23","85"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-01-24","70"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-01-25","83"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-01-26","76"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-01-27","80"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-01-28","82"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-01-29","90"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-01-30","96"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-01-31","88"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-02-01","96"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-02-02","85"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-02-03","84"
